uid	tcga_kl_8339_01a_11r_2315_07_bed	tcga_kn_8435_01a_11r_2315_07_bed	tcga_kn_8437_01a_11r_2315_07_bed	tcga_kn_8430_01a_11r_2315_07_bed	tcga_ko_8416_01a_11r_2315_07_bed	tcga_kn_8434_11a_01r_2315_07_bed	tcga_kn_8428_01a_11r_2315_07_bed	tcga_kl_8326_11a_01r_2315_07_bed	tcga_kn_8425_01a_11r_2315_07_bed	tcga_kn_8423_01a_11r_2315_07_bed	tcga_kn_8429_11a_01r_2315_07_bed	tcga_km_8439_01a_11r_2315_07_bed	tcga_ko_8407_01a_11r_2315_07_bed	tcga_kl_8338_01a_11r_2315_07_bed	tcga_kn_8421_01a_11r_2315_07_bed	tcga_kl_8324_11a_01r_2315_07_bed	tcga_ko_8409_01a_11r_2315_07_bed	tcga_km_8639_01a_11r_2403_07_bed	tcga_kl_8324_01a_11r_2315_07_bed	tcga_kl_8325_01a_11r_2315_07_bed	tcga_kn_8432_11a_01r_2315_07_bed	tcga_ko_8411_01a_11r_2315_07_bed	tcga_kn_8433_01a_11r_2315_07_bed	tcga_ko_8414_01a_11r_2315_07_bed	tcga_kn_8431_11a_01r_2315_07_bed	tcga_km_8442_01a_11r_2315_07_bed	tcga_kl_8331_01a_11r_2315_07_bed	tcga_km_8443_01a_11r_2315_07_bed	tcga_kl_8336_01a_11r_2315_07_bed	tcga_km_8440_01a_11r_2315_07_bed	tcga_ko_8413_01a_11r_2315_07_bed	tcga_ko_8410_01a_11r_2315_07_bed	tcga_kl_8333_01a_11r_2315_07_bed	tcga_ko_8415_01a_11r_2315_07_bed	tcga_ko_8404_01a_11r_2315_07_bed	tcga_kl_8332_01a_11r_2315_07_bed	tcga_kn_8419_11a_01r_2315_07_bed	tcga_kn_8433_11a_01r_2315_07_bed	tcga_ko_8403_11a_01r_2315_07_bed	tcga_kl_8329_01a_11r_2315_07_bed	tcga_kn_8426_11a_01r_2315_07_bed	tcga_kn_8435_11a_01r_2315_07_bed	tcga_kl_8329_11a_01r_2315_07_bed	tcga_ko_8405_01a_11r_2315_07_bed	tcga_km_8441_01a_11r_2315_07_bed	tcga_kn_8437_11a_01r_2315_07_bed	tcga_kl_8336_11a_01r_2315_07_bed	tcga_kl_8327_01a_11r_2315_07_bed	tcga_kl_8343_01a_11r_2315_07_bed	tcga_kn_8432_01a_11r_2315_07_bed	tcga_kn_8434_01a_11r_2315_07_bed	tcga_kl_8332_11a_01r_2315_07_bed	tcga_km_8438_01a_11r_2315_07_bed	tcga_kn_8424_11a_01r_2315_07_bed	tcga_kn_8436_01a_11r_2315_07_bed	tcga_kn_8422_11a_01r_2315_07_bed	tcga_kl_8334_01a_11r_2315_07_bed	tcga_kn_8419_01a_11r_2315_07_bed	tcga_kl_8346_01a_11r_2315_07_bed	tcga_kl_8342_01a_11r_2315_07_bed	tcga_kl_8345_01a_11r_2315_07_bed	tcga_kl_8340_01a_11r_2315_07_bed	tcga_ko_8408_01a_11r_2315_07_bed	tcga_kl_8323_01a_21r_2315_07_bed	tcga_kn_8427_01a_11r_2315_07_bed	tcga_kn_8423_11a_01r_2315_07_bed	tcga_kn_8429_01a_11r_2315_07_bed	tcga_ko_8403_01a_11r_2315_07_bed	tcga_ko_8406_01a_11r_2315_07_bed	tcga_kn_8431_01a_11r_2315_07_bed	tcga_kl_8339_11a_01r_2315_07_bed	tcga_kn_8427_11a_01r_2315_07_bed	tcga_kl_8337_01a_11r_2315_07_bed	tcga_km_8476_01a_11r_2315_07_bed	tcga_kl_8335_01a_11r_2315_07_bed	tcga_kl_8344_01a_11r_2315_07_bed	tcga_kl_8330_01a_11r_2315_07_bed	tcga_kn_8428_11a_01r_2315_07_bed	tcga_kn_8424_01a_11r_2315_07_bed	tcga_ko_8415_11a_01r_2315_07_bed	tcga_kn_8426_01a_11r_2315_07_bed	tcga_kn_8430_11a_01r_2315_07_bed	tcga_kn_8436_11a_01r_2315_07_bed	tcga_km_8477_01a_11r_2315_07_bed	tcga_kn_8425_11a_01r_2315_07_bed	tcga_ko_8417_01a_11r_2315_07_bed	tcga_kl_8326_01a_11r_2315_07_bed	tcga_kn_8418_01a_11r_2315_07_bed	tcga_kl_8341_01a_11r_2315_07_bed	tcga_kl_8328_01a_11r_2315_07_bed
CARD8:ENSG00000105483:E10.1-E11.1|ENSG00000105483:E10.1-E11.2	0.78	0.86	0.59	0.87	0.91	0.79	0.9	0.86	0.78	0.89	0.83	1.0	0.84	1.0	0.79	0.59	0	0.85	0.82	0.86	0.78	0.82	0	0.88	0.93	0.82	0.76	0.91	0.79	0.68	0.83	0.8	0.69	0	0.92	0.76	0.64	0.76	0.79	0.74	0.84	0.79	0.92	0.93	0.82	0.79	0.83	0	0.74	0.64	0.83	0.79	0.8	0.81	0.8	0.79	0.86	0.64	0	0.86	0.8	0.9	0	0.81	0.79	0.77	0.83	0.81	0.81	0.55	0.81	0.74	0.7	0	0.83	0.85	0.85	0.79	0.76	0.79	0.83	0.81	0.77	0.67	0.86	0.89	0	0.73	0.78	0
CARD8:ENSG00000105483:E4.1-E5.1|ENSG00000105483:E4.1-E6.1	0.45	0.5	0.36	0.72	0.69	0.6	0.58	0.65	0.69	0.59	0.57	0.65	0.6	0.54	0.33	0.58	0.72	0.56	0.63	0.55	0.7	0.46	0.9	0.63	0.67	0.56	0.57	0.65	0.58	0.62	0.74	0.48	0.69	0.81	0.79	0.81	0.66	0.45	0.63	0.55	0.51	0.56	0.7	0.79	0.33	0.52	0.78	0.38	0.37	0.56	0.57	0.71	0.89	0.66	0.62	0.66	0.5	0.45	0.77	0.64	0.4	0.61	0.79	0.76	0.7	0.45	0.66	0.57	0.61	0.75	0.64	0.39	0.59	0.81	0.5	0.57	0.68	0.58	0.7	0.67	0.67	0.68	0.55	0.59	0.57	0.53	0.77	0.44	0.43	0.87
CARD8:ENSG00000105483:E11.4-E13.1|ENSG00000105483:E11.4-E15.1	0.43	0.49	0.8	0.43	0.8	0.64	0.76	0.61	0.63	0.79	0.64	0.57	0.68	0.93	0.83	0.73	0.67	0.51	0.7	0.73	0.53	0.83	0.5	0.65	0.83	0.64	0.7	0.72	0.79	0.8	0.62	0.69	0.78	0.73	0.58	0.72	0.55	0.84	0.78	0.68	0.8	0.8	0.82	0.64	0.66	0.78	0.56	0.33	0.49	0.78	0.72	0.58	0.89	0.76	0.68	0.72	0.57	0.77	0.7	0.75	0.78	0.7	0.5	0.72	0.88	0.81	0.77	0.7	0.72	0.75	0.63	0.7	0.4	0	0.7	0.72	0.74	0.6	0.61	0.74	0.6	0.83	0.76	0.59	0.59	0.91	0	0.85	0.83	0.67
CARD8:ENSG00000105483:E2.12-E4.1|ENSG00000105483:E2.8-E4.1	0.57	0.84	0.53	0.6	0.7	0.47	0.6	0.5	0.72	0.76	0.56	0.65	0.76	0	0.69	0.36	0.72	0.55	0.68	0.71	0.51	0.68	0.69	0.53	0.48	0.63	0.69	0.66	0.57	0.86	0.5	0.63	0.64	0.65	0.75	0.59	0.46	0.5	0.43	0.52	0.47	0.52	0.45	0.51	0.5	0.57	0.33	0	0.52	0.68	0.55	0.45	0.59	0.64	0.78	0.58	0.5	0.68	0.59	0.53	0.73	0.79	0.73	0.73	0.72	0.55	0.62	0.75	0.72	0.5	0.52	0.23	0.67	0.57	0.67	0.45	0.81	0.48	0.52	0.52	0.72	0.45	0.39	0.5	0.29	0.74	0.5	0.73	0.71	0.71
CARD8:ENSG00000105483:E2.8-E2.11|ENSG00000105483:E2.8-E4.1	0.83	0.97	0.5	0.68	0.76	0.48	0.71	0.42	0.88	0.87	0.69	0.71	0.64	0.83	0.71	0.54	0.57	0.66	0.74	0.88	0.46	0.72	0.73	0.78	0.69	0.69	0.71	0.78	0.71	0.89	0.58	0.82	0.81	0.67	0.86	0.61	0.57	0.64	0.51	0.73	0.59	0.56	0.34	0.6	0.58	0.58	0.52	0	0.31	0.85	0.8	0.61	0.67	0.59	0.92	0.65	0.62	0.67	0.83	0.54	0.87	0.72	0.72	0.77	0.71	0.65	0.72	0.75	0.79	0.6	0.48	0.58	0.82	0	0.83	0.52	0.85	0.64	0.7	0.39	0.85	0.58	0.42	0.65	0.4	0.7	0.5	0.59	0.86	0.82
CARD8:ENSG00000105483:I6.2-E9.2|ENSG00000105483:E6.3-E9.2	0.55	0.48	0.57	0.78	0.54	0.48	0.84	0.39	0.54	0.79	0.49	0.5	0.7	0	0.54	0.3	0	0.48	0.38	0.48	0.57	0.16	0	0.71	0.64	0.62	0.62	0.52	0	0.27	0.6	0.55	0.66	0	0	0.38	0.48	0.21	0.59	0.32	0.67	0.47	0.5	0.8	0.62	0.69	0.65	0	0.42	0.5	0.65	0.38	0.61	0.48	0.64	0.44	0.62	0.44	0	0.82	0.62	0.56	0	0.62	0.82	0.71	0.59	0.63	0.48	0.44	0.64	0.76	0.33	0	0.64	0.46	0.43	0.52	0.42	0.28	0.73	0.76	0.35	0.73	0.49	0.52	0	0.47	0.33	0
CARD8:ENSG00000105483:E6.3-E8.2|ENSG00000105483:E6.3-E9.2	0.3	0.5	0.61	0.68	0.61	0.57	0.78	0.52	0.58	0.67	0.62	0.59	0.54	0.45	0.36	0.35	0	0.59	0.41	0.6	0.57	0.43	0.33	0.48	0.33	0.57	0.46	0.38	0.53	0.45	0.64	0.45	0.59	0	0	0.6	0.43	0.39	0.51	0.53	0.66	0.4	0.49	0.75	0.57	0.36	0.66	0	0.55	0.64	0.7	0.44	0.67	0.5	0.5	0.48	0.59	0.55	0	0.68	0.74	0.71	0	0.6	0.92	0.65	0.59	0.69	0.48	0.45	0.64	0.72	0.43	0	0.65	0.67	0.39	0.38	0.4	0.44	0.63	0.5	0.52	0.8	0.53	0.58	0.8	0.55	0.46	0
CARD8:ENSG00000105483:E14.2-E15.1|ENSG00000105483:E13.1-E15.1	0.71	0.6	0.75	0.67	0.81	0.62	0.72	0.66	0.67	0.81	0.67	0.63	0.67	0.53	0.56	0.74	0.71	0.76	0.72	0.64	0.76	0.72	0.35	0.51	0.72	0.68	0.53	0.55	0.74	0.46	0.76	0.7	0.88	0.85	0.7	0.78	0.75	0.8	0.78	0.74	0.72	0.78	0.81	0.8	0.77	0.75	0.77	0	0.74	0.67	0.8	0.53	0.76	0.76	0.63	0.72	0.62	0.72	0.83	0.73	0.69	0.68	0.56	0.69	0.74	0.7	0.73	0.73	0.8	0.56	0.79	0.71	0.69	0	0.64	0.73	0.64	0.77	0.77	0.81	0.62	0.88	0.78	0.65	0.71	0.79	0.82	0.66	0.71	0
CARD8:ENSG00000105483:E2.8-E4.1|ENSG00000105483:E2.12-E4.1	0.09	0.02	0.23	0.17	0.12	0.29	0.14	0.32	0.05	0.07	0.18	0.16	0.14	0.11	0.15	0.22	0.16	0.22	0.13	0.07	0.3	0.12	0.17	0.16	0.14	0.15	0.16	0.14	0.15	0.04	0.22	0.1	0.08	0.19	0.07	0.24	0.25	0.25	0.29	0.16	0.22	0.23	0.34	0.23	0.22	0.22	0.23	0	0.37	0.1	0.11	0.2	0.21	0.2	0.05	0.16	0.24	0.17	0.11	0.29	0.06	0.13	0.13	0.1	0.14	0.21	0.13	0.11	0.12	0.25	0.31	0.29	0.08	0.38	0.11	0.28	0.08	0.2	0.16	0.26	0.08	0.24	0.34	0.2	0.4	0.15	0.29	0.17	0.07	0.11
CARD8:ENSG00000105483:E4.1-E6.1|ENSG00000105483:E4.1-E5.1	0.36	0.39	0.48	0.16	0.25	0.26	0.29	0.2	0.21	0.3	0.3	0.29	0.25	0.33	0.42	0.3	0.18	0.29	0.17	0.31	0.19	0.38	0.08	0.25	0.19	0.34	0.31	0.24	0.23	0.23	0.19	0.36	0.19	0.11	0.17	0.11	0.26	0.37	0.23	0.26	0.28	0.3	0.18	0.14	0.4	0.33	0.12	0.62	0.47	0.39	0.29	0.2	0.06	0.26	0.32	0.25	0.35	0.26	0.17	0.25	0.37	0.33	0.19	0.2	0.19	0.33	0.24	0.29	0.25	0.17	0.29	0.38	0.3	0.14	0.43	0.31	0.25	0.33	0.17	0.22	0.22	0.21	0.36	0.29	0.24	0.39	0.14	0.45	0.39	0.12
