uid	ESCA_DT:R2-V4	ESCA_DT:R2-V2	ESCA_DT:R2-V3	ESCA_DT:R2-V6	ESCA_DT:R2-V22	ESCA_DT:R2-V11	ESCA_DT:R2-V10	ESCA_DT:R1-V6	ESCA_DT:R1-V0	ESCA_DT:R3-V12	ESCA_DT:R3-V7	ESCA_DT:R3-V13	ESCA_DT:R3-V6	ESCA_DT:R3-V8	ESCA_DT:R3-V11	ESCA_DT:R3-V16	ESCA_DT:R3-V10	ESCA_DA:R1-V2	ESCA_DA:R1-V7	ESCA_DA:R1-V1	ESCA_DA:R1-V8	ESCA_DA:R3-V5	ESCA_DA:R3-V27	ESCA_DA:R3-V11	ESCA_DA:R3-V16	ESCA_DA:R3-V14	ESCA_BT:R2-V20	ESCA_BT:R2-V5	ESCA_BT:R2-V7	ESCA_BT:R2-V17	ESCA_BT:R2-V3	ESCA_BT:R2-V1	ESCA_BT:R2-V9	ESCA_BT:R2-V19	ESCA_BT:R2-V14	ESCA_BT:R1-V2	ESCA_BT:R3-V1	ESCA_BT:R3-V2	ESCA_BA:R2-V23	ESCA_BA:R2-V12	ESCA_BA:R2-V20	ESCA_BA:R2-V15	ESCA_BA:R2-V7	ESCA_BA:R2-V27	ESCA_BA:R2-V18	ESCA_BA:R2-V3	ESCA_BA:R2-V1	ESCA_BA:R2-V28	ESCA_BA:R2-V26	ESCA_BA:R2-V21	ESCA_BA:R2-V22	ESCA_BA:R2-V11	ESCA_BA:R2-V19	ESCA_BA:R1-V1
TCGA-2H-A9GF-01A-11R-A37I-31	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
TCGA-2H-A9GG-01A-11R-A37I-31	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-2H-A9GH-01A-11R-A37I-31	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
TCGA-2H-A9GI-01A-11R-A37I-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
TCGA-2H-A9GJ-01A-11R-A37I-31	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-2H-A9GK-01A-11R-A37I-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
TCGA-2H-A9GL-01A-12R-A37I-31	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0	0	1	0	0	0	0	0	0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-2H-A9GM-01A-11R-A37I-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	1	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-2H-A9GN-01A-11R-A37I-31	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-2H-A9GO-01A-11R-A37I-31	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0	0	0	0	1	0	1	0	0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
