uid	SARC_DT:R2-V5	SARC_DT:R2-V13	SARC_DT:R2-V3	SARC_DT:R2-V1	SARC_DT:R2-V26	SARC_DT:R2-V16	SARC_DT:R1-V2	SARC_DT:R1-V8	SARC_DT:R3-V6	SARC_DT:R3-V14	SARC_DA:R1-V4	SARC_DA:R1-V7	SARC_DA:R3-V12	SARC_DA:R3-V25	SARC_DA:R3-V3	SARC_DA:R3-V6	SARC_DA:R3-V29	SARC_BT:R2-V23	SARC_BT:R2-V12	SARC_BT:R2-V20	SARC_BT:R2-V15	SARC_BT:R2-V7	SARC_BT:R2-V17	SARC_BT:R2-V18	SARC_BT:R2-V1	SARC_BT:R2-V28	SARC_BT:R2-V26	SARC_BT:R2-V9	SARC_BT:R2-V8	SARC_BT:R2-V29	SARC_BT:R2-V22	SARC_BT:R2-V14	SARC_BT:R1-V2	SARC_BA:R2-V1	SARC_BA:R1-V1
TCGA-3B-A9HX-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
TCGA-DX-A6YS-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0
TCGA-3B-A9I0-01A	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0
TCGA-QC-AA9N-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
TCGA-MB-A5YA-01A	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0
TCGA-DX-A6YX-01A	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
TCGA-X6-A8C2-01A	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
TCGA-DX-A7ET-01A	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1	1
TCGA-DX-AB3B-01A	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
TCGA-3B-A9HL-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
TCGA-KF-A41W-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
TCGA-FX-A3RE-01A	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0	0
TCGA-DX-A48O-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	0
TCGA-DX-A48L-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0
TCGA-HB-A43Z-01A	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0
TCGA-DX-A3U6-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1
