uid	UCEC_DT:R2-V23	UCEC_DT:R2-V5	UCEC_DT:R2-V2	UCEC_DT:R2-V7	UCEC_DT:R2-V27	UCEC_DT:R2-V3	UCEC_DT:R2-V1	UCEC_DT:R2-V26	UCEC_DT:R2-V21	UCEC_DT:R2-V24	UCEC_DT:R2-V29	UCEC_DT:R2-V22	UCEC_DT:R2-V11	UCEC_DT:R1-V3	UCEC_DT:R1-V9	UCEC_DT:R3-V23	UCEC_DT:R3-V4	UCEC_DT:R3-V20	UCEC_DT:R3-V15	UCEC_DT:R3-V7	UCEC_DT:R3-V27	UCEC_DT:R3-V3	UCEC_DT:R3-V8	UCEC_DT:R3-V24	UCEC_DT:R3-V29	UCEC_DA:R2-V23	UCEC_DA:R2-V5	UCEC_DA:R2-V2	UCEC_DA:R2-V7	UCEC_DA:R2-V17	UCEC_DA:R2-V27	UCEC_DA:R2-V18	UCEC_DA:R2-V1	UCEC_DA:R2-V8	UCEC_DA:R2-V29	UCEC_DA:R2-V22	UCEC_DA:R2-V11	UCEC_DA:R1-V4	UCEC_DA:R1-V3	UCEC_DA:R1-V8	UCEC_DA:R3-V12	UCEC_DA:R3-V4	UCEC_DA:R3-V20	UCEC_DA:R3-V25	UCEC_DA:R3-V18	UCEC_DA:R3-V1	UCEC_DA:R3-V9	UCEC_DA:R3-V29	UCEC_BT:R2-V2	UCEC_BT:R1-V2	UCEC_BT:R3-V1
TCGA-2E-A9G8-01A-11R-A40A-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
TCGA-4E-A92E-01A-11R-A37O-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
TCGA-5B-A90C-01A-11R-A37O-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0
TCGA-5S-A9Q8-01A-11R-A40A-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0
TCGA-A5-A0G1-01A-11R-A118-07	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
TCGA-A5-A0G2-01A-11R-A16W-07	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0
TCGA-A5-A0G3-01A-11R-A040-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0
TCGA-A5-A0G5-01A-11R-A040-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
TCGA-A5-A0G9-01A-11R-A040-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0
TCGA-A5-A0GA-01A-11R-A040-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
