uid	tcga_g5_6641_01a_11r_a32z_07_bed	tcga_ag_3605_01a_01r_0826_07_bed	tcga_ag_a025_01a_01r_a00a_07_bed	tcga_ei_6883_01a_31r_1928_07_bed	tcga_af_3400_11a_01r_a32z_07_bed	tcga_ei_6512_01a_11r_1736_07_bed	tcga_dc_5869_01a_01r_1660_07_bed	tcga_af_a56k_01a_32r_a39d_07_bed	tcga_af_2691_01a_01r_0821_07_bed	tcga_ag_3882_01a_01r_0905_07_bed	tcga_ah_6549_01a_11r_1830_07_bed	tcga_ei_6509_01a_11r_1736_07_bed	tcga_dc_6155_01a_11r_1660_07_bed	tcga_ag_a01j_01a_01r_a00a_07_bed	tcga_ag_3902_01a_01r_a32z_07_bed	tcga_f5_6464_01a_11r_1736_07_bed	tcga_ag_3901_01a_01r_1119_07_bed	tcga_af_6136_01a_11r_1830_07_bed	tcga_ei_6508_01a_11r_1736_07_bed	tcga_ag_3742_11a_01r_1660_07_bed	tcga_dc_6158_01a_11r_1660_07_bed	tcga_af_a56n_01a_12r_a39d_07_bed	tcga_f5_6702_01a_11r_1830_07_bed	tcga_dy_a1dg_01a_11r_a32y_07_bed	tcga_af_2693_01a_02r_1736_07_bed	tcga_f5_6863_01a_11r_1928_07_bed	tcga_af_5654_01a_01r_1660_07_bed	tcga_dc_6681_01a_11r_a32z_07_bed	tcga_ag_a01n_01a_01r_a00a_07_bed	tcga_dc_4749_01a_01r_1736_07_bed	tcga_bm_6198_01a_11r_1736_07_bed	tcga_ei_6506_01a_11r_1736_07_bed	tcga_ag_3742_01a_11r_1660_07_bed	tcga_ag_3728_01a_01r_0905_07_bed	tcga_ag_3609_01a_02r_0826_07_bed	tcga_ci_6623_01b_11r_1830_07_bed	tcga_ag_a011_01a_01r_a002_07_bed	tcga_dc_6156_01a_11r_1660_07_bed	tcga_ag_4005_01a_01r_1119_07_bed	tcga_ah_6544_01a_11r_1830_07_bed	tcga_af_3400_01a_01r_0821_07_bed	tcga_af_6655_01a_11r_1830_07_bed	tcga_ag_a00y_01a_02r_a002_07_bed	tcga_ag_3725_01a_11r_1736_07_bed	tcga_ag_3727_01a_01r_0905_07_bed	tcga_ag_3731_11a_01r_1736_07_bed	tcga_ag_a00c_01a_01r_a002_07_bed	tcga_ag_3731_01a_11r_1736_07_bed	tcga_ag_3578_01a_01r_0821_07_bed	tcga_ef_5831_01a_01r_1660_07_bed	tcga_ag_a032_01a_01r_a00a_07_bed	tcga_ci_6624_01c_11r_1830_07_bed	tcga_ci_6620_01a_11r_1830_07_bed	tcga_af_2689_11a_01r_a32z_07_bed	tcga_dy_a1de_01a_11r_a155_07_bed	tcga_ag_3890_01a_01r_1119_07_bed	tcga_ag_3601_01a_01r_0826_07_bed	tcga_af_2692_11a_01r_a32z_07_bed	tcga_ag_a01y_01a_41r_a083_07_bed	tcga_f5_6861_01a_11r_1928_07_bed	tcga_af_2692_01a_01r_0821_07_bed	tcga_af_2687_01a_02r_1736_07_bed	tcga_ag_a02n_01a_11r_a083_07_bed	tcga_ag_4008_01a_01r_1119_07_bed	tcga_dc_6157_01a_11r_1660_07_bed	tcga_ah_6547_01a_11r_1830_07_bed	tcga_ag_3591_01a_01r_1736_07_bed	tcga_ag_3575_01a_01r_0821_07_bed	tcga_ei_6514_01a_11r_1736_07_bed	tcga_ag_a01w_01a_21r_a083_07_bed	tcga_dc_5337_01a_01r_1660_07_bed	tcga_ag_3587_01a_01r_0821_07_bed	tcga_ag_3592_01a_02r_1736_07_bed	tcga_f5_6465_01a_11r_1736_07_bed	tcga_ag_3883_01a_02r_0905_07_bed	tcga_ei_6885_01a_11r_1928_07_bed	tcga_ag_3893_01a_01r_1119_07_bed	tcga_ag_3600_01a_01r_0826_07_bed	tcga_ah_6903_01a_11r_1928_07_bed	tcga_ag_3584_01a_01r_0821_07_bed	tcga_ag_3894_01a_01r_1119_07_bed	tcga_ei_6882_01a_11r_1928_07_bed	tcga_ag_3892_01a_01r_1119_07_bed	tcga_ag_3726_01a_02r_0905_07_bed	tcga_ag_3999_01a_01r_1119_07_bed	tcga_ag_3885_01a_01r_0905_07_bed	tcga_cl_4957_01a_01r_1736_07_bed	tcga_ag_3599_01a_02r_0826_07_bed	tcga_af_3913_01a_02r_1119_07_bed	tcga_ag_3581_01a_01r_0821_07_bed	tcga_f5_6571_01a_12r_1830_07_bed	tcga_f5_6810_01a_11r_1830_07_bed	tcga_ef_5830_01a_01r_1660_07_bed	tcga_af_a56l_01a_31r_a39d_07_bed	tcga_ag_3583_01a_01r_0821_07_bed	tcga_ag_3580_01a_01r_0821_07_bed	tcga_ag_a002_01a_01r_a002_07_bed	tcga_ag_3881_01a_01r_0905_07_bed	tcga_dy_a1df_01a_11r_a155_07_bed	tcga_ag_3594_01a_02r_0821_07_bed	tcga_ah_6643_01a_11r_1830_07_bed	tcga_ei_6510_01a_11r_1736_07_bed	tcga_af_6672_01a_11r_1830_07_bed	tcga_ag_a014_01a_02r_a002_07_bed	tcga_af_2691_11a_01r_a32z_07_bed	tcga_ag_4007_01a_01r_1119_07_bed	tcga_ag_a023_01a_01r_a00a_07_bed	tcga_af_5654_11a_11r_1660_07_bed	tcga_ag_3593_01a_01r_0821_07_bed	tcga_ag_3887_01a_01r_1119_07_bed	tcga_ei_7002_01a_11r_1928_07_bed	tcga_ag_3732_11a_01r_1660_07_bed	tcga_ag_3725_11a_01r_1736_07_bed	tcga_g5_6235_01a_11r_1736_07_bed	tcga_ag_3611_01a_01r_0826_07_bed	tcga_dc_6154_01a_31r_1928_07_bed	tcga_ag_a01l_01a_01r_a002_07_bed	tcga_ah_6643_11a_01r_1830_07_bed	tcga_af_3911_01a_01r_1736_07_bed	tcga_ag_4001_01a_02r_1119_07_bed	tcga_ag_a016_01a_01r_a002_07_bed	tcga_dy_a1dd_01a_21r_a155_07_bed	tcga_ag_a02g_01a_01r_a00a_07_bed	tcga_ag_3898_01a_01r_1119_07_bed	tcga_ag_a036_01a_12r_a083_07_bed	tcga_f5_6812_01a_11r_1830_07_bed	tcga_ei_6513_01a_21r_1736_07_bed	tcga_ag_a020_01a_21r_a083_07_bed	tcga_af_2690_01a_02r_1736_07_bed	tcga_ag_3909_01a_01r_1119_07_bed	tcga_dt_5265_01a_21r_1830_07_bed	tcga_ag_3732_01a_11r_1660_07_bed	tcga_ag_a015_01a_01r_a002_07_bed	tcga_ci_6622_01a_11r_1830_07_bed	tcga_ei_6881_01a_11r_a32z_07_bed	tcga_ei_6884_01a_11r_1928_07_bed	tcga_ag_a008_01a_01r_a002_07_bed	tcga_ah_6897_01a_11r_1928_07_bed	tcga_ag_4015_01a_01r_1119_07_bed	tcga_cl_5917_01a_11r_1660_07_bed	tcga_ag_a026_01a_01r_a00a_07_bed	tcga_f5_6814_01a_31r_1928_07_bed	tcga_dy_a1dc_01a_31r_a155_07_bed	tcga_ci_6619_01b_11r_1830_07_bed	tcga_dy_a0xa_01a_11r_a155_07_bed	tcga_af_4110_01a_02r_1736_07_bed	tcga_dc_6682_01a_11r_1830_07_bed	tcga_ag_3598_01a_01r_0826_07_bed	tcga_ag_3582_01a_01r_0821_07_bed	tcga_ag_3878_01a_02r_0905_07_bed	tcga_f5_6811_01a_11r_1830_07_bed	tcga_ag_4021_01a_01r_1736_07_bed	tcga_ag_3602_01a_02r_0826_07_bed	tcga_ag_3586_01a_02r_0821_07_bed	tcga_cl_5918_01a_11r_1660_07_bed	tcga_dy_a1h8_01a_21r_a155_07_bed	tcga_f5_6813_01a_11r_1830_07_bed	tcga_ag_3612_01a_01r_0826_07_bed	tcga_dc_6683_01a_11r_1830_07_bed	tcga_ag_3574_01a_01r_0821_07_bed	tcga_ag_a02x_01a_01r_a00a_07_bed	tcga_g5_6572_02a_12r_1830_07_bed	tcga_g5_6572_01a_11r_1830_07_bed	tcga_ag_a00h_01a_01r_a00a_07_bed	tcga_dc_6160_01a_11r_1660_07_bed	tcga_g5_6233_01a_11r_1736_07_bed	tcga_f5_6864_01a_11r_1928_07_bed	tcga_ag_4022_01a_01r_1736_07_bed	tcga_ag_3608_01a_01r_0826_07_bed	tcga_ah_6644_01a_21r_1830_07_bed	tcga_dc_4745_01a_01r_a32z_07_bed	tcga_ei_6917_01a_11r_1928_07_bed	tcga_ei_7004_01a_11r_1928_07_bed	tcga_ci_6621_01a_11r_1830_07_bed	tcga_ag_3896_01a_01r_1119_07_bed	tcga_ei_6507_01a_11r_1736_07_bed	tcga_ei_6511_01a_11r_1736_07_bed
SPPL2B:ENSG00000005206:I12.1-E13.1|ENSG00000005206:E12.2-E13.2	0.24	0.0	0.29	0.22	0.03	0.22	0.0	0.38	0.32	0.0	0.14	0.09	0	0.28	0.29	0.0	0.4	0.28	0.26	0.0	0.15	0.39	0.1	0.46	0.17	0.28	0.06	0.17	0.0	0.23	0.46	0.27	0.34	0.0	0.0	0.09	0.31	0.21	0.14	0.1	0.24	0.4	0.33	0.23	0.0	0.16	0.58	0.23	0.58	0.21	0.35	0.07	0.19	0.0	0.27	0.46	0.0	0.0	0.33	0.19	0.49	0.29	0.35	0.29	0.17	0.23	0.28	0	0.15	0.35	0.0	0.36	0.19	0.26	0.0	0.19	0.16	0.41	0.25	0.54	0.12	0.14	0.0	0.0	0.22	0.0	0.1	0.0	0.24	0.0	0.17	0.16	0.11	0.39	0.38	0.0	0.45	0.0	0.43	0.38	0.18	0.16	0.36	0.0	0.0	0.35	0.34	0.14	0.68	0.17	0.39	0.0	0.0	0.12	0.68	0.27	0.37	0.11	0.13	0.34	0.2	0.38	0.23	0.61	0.56	0.17	0.12	0.38	0.05	0.23	0.31	0.24	0.31	0.12	0.18	0.23	0.53	0.0	0.2	0.21	0.29	0.12	0.22	0.25	0.43	0.17	0.17	0.0	0.0	0.0	0.1	0.18	0.0	0.36	0.2	0.62	0.12	0.0	0.24	0.15	0.24	0.0	0.2	0.41	0.29	0.27	0.29	0.25	0.35	0.29	0.06	0.21	0.09	0.28	0.23	0.31	0.0
LUC7L:ENSG00000007392:E4.1-E6.2|ENSG00000007392:E5.3-E6.2	0.39	0.88	0.58	0.62	0.73	0.67	0.64	0.44	0.72	0	0.6	0.52	0	0.18	0.44	0.75	0.91	0.51	0.52	0.58	0.57	0.59	0.65	0.28	0.81	0.49	0.72	0.75	0.61	0.56	0.67	0.67	0.35	0	0.79	0.55	0.52	0.6	0.68	0.73	0.67	0.67	0.59	0.38	0	0.81	0.87	0.86	0.45	0.71	0.45	0.66	0.75	0.79	0.38	0.4	0.41	0.62	0.74	0.7	0.47	0.54	0.42	0.43	0.37	0.57	0.59	0.81	0.35	0.85	0.74	0.33	0.57	0.64	0	0.68	0.56	0.9	0.67	0.5	0.76	0.64	0.8	0	0.4	0	0.62	0.59	0.69	0.3	0.38	0.62	0.6	0.47	0.36	0.62	0.7	0	0.24	0	0.66	0.25	0.43	0.46	0.9	0.5	0.85	0.59	0.6	0.79	0.54	0.68	0.76	0.51	0.39	0.44	0.32	0.45	0.45	0.82	0.27	0.18	0.61	0.52	0.37	0.62	0.6	0.31	0.64	0.29	0.46	0.66	0.44	0.79	0.49	0.46	0.91	0.82	0.67	0.71	0.53	0.87	0.63	0.5	0.5	0.69	0.92	0	0	0	0.66	0.88	0.87	0.5	0.57	0.44	0.85	0.46	0.62	0.5	0.38	0.71	0.78	0.38	0.72	0.62	0.52	0.36	0.67	0.58	0.7	0.71	0.84	0.72	0.64	0.58	0.78
BAIAP3:ENSG00000007516:E30.2-E31.1|ENSG00000007516:E26.1-E34.6	0.45	0	0	0.65	0.62	0.38	0	0.57	0.5	0	0.21	0.73	0.0	0.73	0.77	0	0	0.64	0.41	0.4	0	0	0.53	0.4	0.33	0.81	0	0.98	0.67	0.29	0.21	0.2	0	0	0	0.07	0.69	0	0	0.39	0	0	0	0.68	0	0.64	0	0.56	0.89	0.67	0.67	0	0.17	0.61	0.52	0	0	0.74	0	0.52	0.78	0.3	0	0	0.33	0.5	0.18	0.33	0.5	0	0	0	0.16	0.8	0	0.9	0	0	0.47	0.62	0	0	0	0	0	0.89	0.24	0	0.22	0	0.54	0.27	0.75	0.64	0	0	0.67	0	0.85	0	0.74	0.79	0.9	0	0.58	0	0	0.68	0	0	0.6	0.71	0.62	0.38	0.4	0.75	0.9	1.0	0.5	0	0	0.89	0	0.2	0	0.45	0.2	0	0.45	1.0	0.82	0	0	0.32	0.08	0.75	0	0	0	0.81	0	0.33	0.48	0.47	0.84	0.48	0	0	0	0	0	0.74	0	0	0.5	0.61	0.25	0	0.44	0	0	0.83	0.78	0	0	0.33	0.58	0.71	0.27	0.92	0	0	0.8	0	0	0.84	0.23
POMT2:ENSG00000009830:E25.2-E26.3|ENSG00000009830:E25.5-E26.3	0.82	0.67	0.82	0.67	0.82	0.62	0.8	0.53	0	0	0.77	0.6	0	0	0.6	0.83	0	0.47	0.79	0.8	0.7	0.67	0.79	0.5	0.66	0.55	0.89	0.92	0	0.5	0.79	0.94	0.68	0.79	0	0.85	0	0.81	0.73	0.91	0	0.78	0	0.73	0	0.68	0	0.76	0.62	0	0	0.83	0.5	0.7	0.22	0	0	0.88	0.5	0.84	0	0.65	0	0	0.48	0.71	0.73	0	0.8	0	0.86	0	0.76	0.87	0	0.79	0	0	0.7	0.44	0	0.71	0	0.94	0	0	0.76	0	0	0.89	0.87	0.7	0.92	0.52	0.78	0	0.58	0	0.55	0.33	0.5	0.58	0.47	0	0.81	0	0	0.9	0	0	0.6	0.77	0	0	0.42	0.89	0.75	0.56	0.38	0	0	0.52	0	0	0	0.54	0.91	0.75	0.76	0	0.75	0.82	0	0.81	0.95	0.47	0	0.64	0	0.75	0	0.76	0.73	0.68	0.78	1.0	0.64	0	0	0.94	0.78	0.64	0	0	0.77	0.52	0.82	0.78	0	0	0	0.78	0.83	0.36	0.56	0.06	0.79	0	0	0.87	0.91	0.61	0.86	0.69	0	0.35	0.82
NISCH:ENSG00000010322:E21.4-E21.6|ENSG00000010322:E21.4-E21.5_52478373	0.92	0.92	0.83	0.95	0.96	1.0	0.88	0.84	0.92	1.0	0.92	0.95	0	1.0	0.85	0.96	1.0	0.89	0.88	1.0	0.94	0.74	0.9	0.88	1.0	0.98	0.82	0.91	0.92	0.8	0.87	0.84	0.87	0.94	0	0.93	0.84	0.93	1.0	1.0	1.0	0.79	0.96	0.82	0.88	0.97	0	0.93	0.95	1.0	0.79	1.0	0.86	0.91	0.87	1.0	1.0	0.93	0.85	0.85	1.0	0.92	0.96	0.9	0.78	1.0	0.89	0	0.96	1.0	0.86	1.0	0.96	0.96	0.78	0.92	1.0	0.93	0.88	1.0	1.0	0.86	1.0	0.82	1.0	0.89	0.92	1.0	0.83	1.0	0.93	0.95	1.0	0.92	0	1.0	1.0	0	0.95	0.92	0.9	0.83	0.82	0.93	0.95	0.83	0.84	0.95	0.88	0.92	0.85	0.96	0.92	1.0	0.88	0.91	0.93	1.0	0.89	0.92	1.0	0.73	0.84	1.0	0.88	0.93	0.92	1.0	0.96	1.0	0.93	0.95	0	0.96	0.91	0.91	1.0	0.98	0.85	0.9	0.9	0.89	1.0	0.86	0.92	0.96	1.0	1.0	1.0	0	0.96	0.91	1.0	0.8	0.89	0.59	0.93	0.9	0.92	1.0	1.0	0.96	0.93	1.0	0.96	1.0	0.92	0.93	1.0	0.91	1.0	0.82	0.96	0.91	0.95	0.8	0.92
IDS:ENSG00000010404:E6.3-E8.1|ENSG00000010404:E7.1-E8.1	0.9	0.84	0.88	0.78	0.76	0.8	0.78	0.62	0.73	0.69	0.58	0.72	0	0.88	0.87	0.69	0.65	0.73	0.71	0.65	0.78	0.58	0.64	0.59	0.83	0.72	0.8	0.67	0.81	0.69	0.68	0.79	0.63	0.76	0.63	0.65	0.94	0.66	0.84	0.89	0.59	0.81	0.88	0.81	0.68	0.68	0	0.68	0.76	0.79	0.79	0.8	0.75	0.7	0.6	0.83	0.61	0.59	0.7	0.82	0.61	0.57	0.77	0.9	0.7	0.74	0.74	0.87	0.66	0.77	0.84	0.89	0.78	0.7	0.7	0.75	0.78	0.74	0.86	0.84	0.69	0.78	0.26	0.89	0.78	0.95	0.87	0.76	0.82	0.8	0.69	0.6	0.9	0.77	0.8	0.6	0.74	0.74	0.56	0.79	0.68	0.84	0.82	0.81	0.55	0.78	0.74	0.75	0.46	0.42	0.71	0.6	0.73	0.61	0.93	0.83	0.93	0.67	0.74	0.74	0.83	0.72	0.73	0.81	0.82	0.56	0.67	0.87	0.66	0.84	0.66	0.77	0.91	0.89	0.84	0.7	0	0.85	0.85	0.77	0.89	0.84	0.69	0.78	0.83	0.67	0.8	0.63	0.77	0.85	0.64	0.83	0.7	0.96	0.74	0.62	0.71	0.51	0.72	0.81	0.6	0.76	0.78	0.69	0.86	0.81	0.57	0.74	0.97	0.75	0.85	0.81	0.58	0.71	0.76	0.77	0.73
ZDHHC6:ENSG00000023041:E7.1-E9.2|ENSG00000023041:E8.1-E9.2	0.62	0.52	0.66	0.82	0.94	0.82	0.89	0.68	0.58	0	0.64	0.75	0	0.81	0.63	0.9	0.82	0.75	0.82	0.88	0.75	0.8	0.9	0.69	0.85	0.72	0.79	0.86	0.57	0.89	0.61	0.73	0.7	0	0.91	0.89	0.93	0.75	0.98	0.87	0.75	0.62	0.58	0.77	0	0.72	0.89	0.79	0.84	0.87	1.0	0.89	0.86	0.92	0.76	0.58	0.81	0.71	0.43	0.7	0.23	0.7	0.34	0.66	0.91	0.68	0.8	0.94	0.92	0.71	0.92	0.57	0.81	0.72	0	0.64	1.0	0.92	0.68	0.47	0.95	0.69	0.89	0	0.7	0	0.81	0.98	0.77	0.85	0.63	0.74	0.89	0.67	0.76	0.77	0.49	0	0.55	0.33	0.55	0.68	0.52	0.94	0.87	0.94	0.83	0.79	0.54	0.94	0.8	0.8	0.84	0.71	0.45	0.78	1.0	0.77	0.82	0.95	0.83	0.59	0.62	0.98	0.6	0.84	0.7	0.97	0.8	1.0	0.91	0.59	0.54	0.83	0.83	0.79	1.0	0.95	0.76	0.89	0.93	0.86	0.77	0.57	0.57	0.76	0.84	0.91	0.98	1.0	0.77	0.95	0.98	0.84	0.75	0.41	0.83	0.98	0.84	0.92	1.0	0.95	0.86	0.67	0.8	0.62	0.7	0.7	0.95	0.62	0.84	0.74	0.92	0.71	0.92	0.68	0.81
TOMM34:ENSG00000025772:E4.1-E5.1|ENSG00000025772:E4.1-E6.1	0.89	0.95	1.0	0.91	0.92	0.91	0.9	0.85	0.9	0.73	0.89	0.9	0	0.89	0.9	0.89	0.87	0.9	0.9	0.9	0.88	0.88	0.89	0.91	0.89	0.88	0.88	0.9	0.83	0.89	0.9	0.9	0.89	0.86	0.88	0.92	0.93	0.87	0.87	0.91	0.9	0.92	0.89	0.9	1.0	0.88	0.86	0.91	0.86	0.92	0.94	0.9	0.92	0.86	0.82	0.79	0.95	0.87	0.88	0.91	0.81	0.9	0.86	0.93	0.93	0.88	0.91	0.83	0.97	0.93	0.91	0.9	0.93	0.9	0.89	0.9	0.94	1.0	0.87	0.81	0.94	0.94	0.88	0.91	0.94	1.0	0.91	0.92	0.94	0.88	0.91	0.91	0.88	0.92	0.91	1.0	1.0	0	0.87	0.89	0.9	0.91	0.9	1.0	0.96	0.89	0.91	0.84	0.89	0.83	0.92	0.91	1.0	0.91	1.0	0.91	0.95	1.0	0.93	0.94	0.94	0.81	0.89	0.89	0.87	0.92	0.92	0.91	0.89	0.91	0.85	0.9	0.83	0.85	0.9	0.94	0.94	0.88	0.92	0.93	0.85	0.93	0.86	0.89	0.9	0.92	0.92	0.91	0.87	0.83	0.89	0.92	0.9	0.97	0.9	0.89	0.89	0.9	0.9	0.93	0.92	1.0	0.89	0.89	0.91	0.91	0.9	0.92	0.94	0.88	0.91	0.94	0.91	0.88	0.9	0.84	0.94
MRI1:ENSG00000037757:E3.2-E4.1|ENSG00000037757:E3.2-E4.4	0.3	0.0	0.26	0.22	0.07	0.05	0.18	0.16	0.17	0.35	0.44	0.21	0	0.12	0.25	0.08	0.31	0.33	0.13	0.22	0.11	0.2	0.22	0.37	0.08	0.37	0.33	0.03	0.26	0.28	0.22	0.33	0.1	0.2	0.05	0.15	0	0.33	0.0	0	0.25	0.21	0.15	0.31	0.03	0.14	0.07	0.12	0.48	0.07	0.16	0.17	0.06	0.1	0.41	0	0.1	0.16	0.17	0.32	0.3	0.5	0.11	0.13	0.32	0.32	0.15	0.13	0.1	0.18	0.15	0.07	0.2	0.19	0.36	0.42	0.29	0.0	0.14	0.33	0.18	0.22	0.25	0.15	0.17	0.25	0.0	0.0	0.12	0.25	0.27	0.26	0.19	0.18	0.33	0.06	0.05	0.15	0	0.38	0.33	0.43	0.33	0.1	0.04	0.1	0.23	0.2	0.08	0.31	0.19	0.32	0.22	0.28	0.38	0.18	0.11	0	0.27	0.14	0.21	0.42	0	0.23	0.25	0.23	0.28	0.09	0.13	0.06	0.28	0.46	0.33	0.08	0.31	0.37	0.22	0.08	0.42	0.3	0.29	0.14	0.1	0.53	0.38	0.32	0.08	0.0	0.21	0.17	0.43	0.31	0.21	0.21	0.23	0	0.2	0.19	0.24	0.12	0.0	0.11	0.31	0.15	0.13	0.35	0.51	0.34	0.29	0.05	0.01	0.5	0.15	0.37	0.1	0.42	0.07
PHPT1:ENSG00000054148:E3.5-E4.1|ENSG00000054148:E3.2-E4.1	0.38	0.1	0.21	0.15	0.25	0.1	0.17	0.16	0.16	0.17	0.19	0.14	0.4	0.2	0.24	0.2	0.15	0.13	0.26	0.13	0.14	0.27	0.15	0.18	0.27	0.13	0.17	0.15	0.21	0.19	0.45	0.33	0.31	0.03	0.06	0.18	0.21	0.17	0.19	0.25	0.2	0.09	0.15	0.23	0.11	0.2	0.32	0.21	0.25	0.17	0.2	0.16	0.3	0.16	0.21	0.28	0.17	0.18	0.15	0.16	0.27	0.14	0.11	0.11	0.07	0.22	0.1	0.04	0.1	0.31	0.15	0.06	0.18	0.11	0.11	0.13	0.22	0.17	0.14	0.15	0.08	0.42	0.21	0.12	0.15	0.24	0.15	0.07	0.01	0.12	0.12	0.23	0.16	0.29	0.18	0.13	0.15	0.11	0.25	0.3	0.13	0.31	0.16	0.17	0.15	0.1	0.18	0.28	0.18	0.18	0.14	0.19	0.14	0.23	0.29	0.11	0.14	0.26	0.21	0.12	0.16	0.11	0.21	0.11	0.18	0.13	0.23	0.15	0.11	0.14	0.34	0.36	0.08	0.11	0.14	0.23	0.23	0.14	0.16	0.08	0.17	0.22	0.12	0.17	0.2	0.11	0.11	0.09	0.08	0.13	0.11	0.33	0.13	0.15	0.16	0.14	0.22	0.12	0.12	0.12	0.28	0.09	0.06	0.17	0.17	0.21	0.23	0.16	0.13	0.12	0.07	0.28	0.15	0.11	0.11	0.27	0.13
